Year/Month/Week,Pollution,Pollution Mean (Total),Pollution Mean (pandemic),Pollution Mean (before),Pollution Change,Pollution in 2019 (same period as pandemic),Pollution Change,system:time_start,p25,Median,IQR,Left date,Right date
"2019,6,3",26.934,,,,,,,20-Aug-19,22.063,24.577,27.219,,
"2019,6,4",26.98,,,,,,,29-Aug-19,23.712,27.62,32.014,,
"2019,7,1",27.127,,,,,,,7-Sep-19,17.434,22.702,28.702,,
"2019,7,2",25.828,,,,,,,16-Sep-19,20.137,25.244,30.751,,
"2019,7,3",27.614,,,,,,,25-Sep-19,18.312,24.409,30.881,,
"2019,7,4",26.5165,,,,,,,4-Oct-19,22.463,27.983,34.199,,
"2019,8,1",24.704,,,,,,,13-Oct-19,25.162,33.046,40.994,,
"2019,8,2",24.283,,,,,,,22-Oct-19,27.048,31.149,35.797,,
"2019,8,3",24.577,,,,,,,31-Oct-19,22.361,31.073,41.313,,
"2019,8,4",27.62,,,,,,,9-Nov-19,25.81,34.578,44.826,,
"2019,9,1",22.702,,,,,,,18-Nov-19,24.406,33.236,43.276,,
"2019,9,2",25.244,,,,,,,27-Nov-19,28.564,34.372,40.671,,
"2019,9,3",24.8265,,,,,,,6-Dec-19,28.628,36.668,46.485,,
"2019,9,4",26.196,,,,,,,15-Dec-19,23.596,34.636,46.263,,
"2019,10,1",30.5145,,,,,,,24-Dec-19,32.508,42.297,53.87,,
"2019,10,2",33.046,,,,,,,2-Jan-20,21.436,27.853,35.633,,
"2019,10,3",31.149,,,,,,,11-Jan-20,30.13,39.654,51.139,,
"2019,10,4",31.073,,,,,,,20-Jan-20,32.388,39.814,47.681,,
"2019,11,1",34.578,,,,,,,29-Jan-20,24.311,31.273,38.763,,
"2019,11,2",33.907,,,,,,,7-Feb-20,27.568,38.589,50.857,,
"2019,11,3",33.804,,,,,,,16-Feb-20,38.186,49.965,64.364,,
"2019,11,4",35.52,,,,,,,25-Feb-20,22.689,32.067,42.262,,
"2019,12,1",36.668,,,,,,,5-Mar-20,20.055,28.487,37.596,,
"2019,12,2",34.636,,,,,,,14-Mar-20,11.116,19.778,32.074,,
"2019,12,3",42.297,,,,,,,23-Mar-20,16.944,26.836,40.967,,
"2019,12,4",35.075,,,,,,,1-Apr-20,16.588,24.084,33.964,,
"2020,1,1",33.7535,,,,,,,10-Apr-20,19.298,27.453,37.369,,
"2020,1,2",39.734,,,,,,,19-Apr-20,20.417,26.716,36.884,,
"2020,1,3",39.814,,,,,,,28-Apr-20,13.976,19.974,27.129,,
"2020,1,4",34.931,,,,,,,7-May-20,14.722,22.01,30.535,,
"2020,2,1",38.589,,,,,,,16-May-20,17.433,24.523,33.085,,
"2020,2,2",49.965,,,,,,,25-May-20,20.58,25.301,31.239,,
"2020,2,3",41.016,,,,,,,3-Jun-20,22.55,27.415,32.391,,
"2020,2,4",30.277,,,,,,,12-Jun-20,20.4,26.107,32.222,,
"2020,3,1",24.1325,,,,,,,21-Jun-20,22.057,26.804,32.146,,
"2020,3,2",19.778,,,,,,,30-Jun-20,23.003,25.56,28.652,,
"2020,3,3",26.836,,,,,,,9-Jul-20,18.372,21.717,25.743,,
"2020,3,4",25.46,,,,,,,18-Jul-20,21.413,24.908,28.472,,
"2020,4,1",27.453,,,,,,,,,,,,
"2020,4,2",27.0845,,,,,,,,,,,,
"2020,4,3",23.345,,,,,,,,,,,,
"2020,4,4",20.992,,,,,,,,,,,,
"2020,5,1",22.01,,,,,,,,,,,,
"2020,5,2",24.523,,,,,,,,,,,,
"2020,5,3",24.912,,,,,,,,,,,,
"2020,5,4",26.358,,,,,,,,,,,,
"2020,6,1",26.761,,,,,,,,,,,,
"2020,6,2",26.4555,,,,,,,,,,,,
